month,Luxury,floors,bedrooms,bathrooms,basement,view,waterfront,condition,sqft_lot,sqft_living,sqft_above,yr_built,renovated,lat,long,dist_to_center,price
"[4.50, 7.50)",1,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,C,25.52656039189147,10.462583020783423,3.831498102046957,"[1949.50, 1994.50)",0,47.5936,-122.013,0.199957082970383,3.9389885210036737
"[4.50, 7.50)",1,"[1.25, 1.75)","(-inf, 2.50)","[1.25, 1.75)",1,0,0,A,19.718706667479644,10.042105827388284,3.831498102046957,"(-inf, 1940.50)",0,47.6624,-122.325,0.13355655382077714,3.9421106918534536
"[7.50, inf)",1,"(-inf, 1.25)","[3.50, 4.50)","[3.25, inf)",0,1,0,B,23.29989023537805,11.55578438340065,4.015587454977456,"[1994.50, 2009.50)",0,47.3216,-121.94,0.38262152764919766,3.945572153000343
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[3.25, inf)",1,0,0,B,19.705543012049635,10.623167751423114,3.876046491147838,"[1994.50, 2009.50)",0,47.64220000000001,-122.361,0.15708840862050774,3.946263738296058
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,A,23.5777336347113,10.444896988559092,3.7671291440884866,"[1949.50, 1994.50)",0,47.7447,-122.328,0.19299600632040517,3.919169140485399
"[4.50, 7.50)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",0,0,0,B,25.392785679273224,9.049393997931366,3.710547991627614,"[1949.50, 1994.50)",0,47.4866,-122.303,0.13695926997831448,3.8937916022938674
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,C,22.896516823016597,10.39997652990733,3.889504041439171,"[1949.50, 1994.50)",0,47.35080000000001,-122.057,0.28533583693749015,3.9048428679653426
"[4.50, 7.50)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,B,23.277455515229693,11.356688919901542,3.9407499237966688,"[1994.50, 2009.50)",0,47.7277,-122.207,0.13805966814824755,3.9378963602186223
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,C,22.80233761605496,10.39997652990733,3.792232865831295,"[1949.50, 1994.50)",0,47.4346,-122.171,0.16073025823298104,3.905633351687994
"[4.50, 7.50)",1,"[1.75, inf)","[3.50, 4.50)","[3.25, inf)",1,1,0,B,25.25620501032261,12.130597544895892,4.02932822945109,"[2009.50, inf)",0,47.54549999999999,-122.211,0.044308963491065986,3.980779877954324
"[7.50, inf)",0,"[1.25, 1.75)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,A,21.820091539275396,10.48881905624131,3.8564045245414027,"(-inf, 1940.50)",0,47.5299,-122.266,0.08000966583979215,3.9236825672936413
"[4.50, 7.50)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",0,0,0,B,22.31751428679267,8.168824950164042,3.5708065484097986,"[1949.50, 1994.50)",0,47.51100000000001,-122.348,0.15636753045006463,3.856754744297317
"[7.50, inf)",1,"(-inf, 1.25)","[3.50, 4.50)","[2.75, 3.25)",1,1,0,B,22.430659127416085,10.924119115385174,3.881775832997805,"[1949.50, 1994.50)",1,47.616,-122.218,0.02671995200174412,3.9663808182169342
"[7.50, inf)",0,"(-inf, 1.25)","[3.50, 4.50)","[1.25, 1.75)",1,0,0,B,22.70412603851873,9.72250261373509,3.7454196652764478,"[1949.50, 1994.50)",0,47.4718,-122.32299999999998,0.161349994326712,3.905789448780379
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,22.500605400182106,9.918216203212637,3.830012880053361,"[1949.50, 1994.50)",0,47.5691,-122.00699999999999,0.20695489455747862,3.924143653550178
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,C,23.21478339948207,9.547303039156583,3.7810400560184454,"[1949.50, 1994.50)",0,47.4579,-122.09,0.180273139317772,3.901502484143347
"[7.50, inf)",0,"[1.75, inf)","[4.50, inf)","[1.25, 1.75)",1,0,0,B,14.347710703826712,9.709581931785054,3.756565612855153,"[1994.50, 2009.50)",0,47.6526,-122.384,0.18225309773977405,3.9187976039149897
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,A,25.622407349080827,9.191068521127088,3.7311882197600994,"[1949.50, 1994.50)",0,47.3437,-122.078,0.2806289922619538,3.901502484143347
"[7.50, inf)",0,"(-inf, 1.25)","[4.50, inf)","[1.75, 2.75)",1,0,0,B,23.253042295374396,10.809099651175684,3.8725202753639403,"[1949.50, 1994.50)",0,47.7564,-122.144,0.18032321290763895,3.9256847945439644
"[7.50, inf)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,C,22.59469173428651,9.88300373353301,3.8254862710119433,"[1949.50, 1994.50)",0,47.3719,-122.091,0.24966126016672774,3.895867821724253
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,B,24.074055209765977,10.557129347987969,3.9079697670660756,"[1949.50, 1994.50)",0,47.6215,-122.031,0.18466720194705621,3.9337090636633985
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,B,22.975454729962156,10.258720782914612,3.795826554428269,"[1949.50, 1994.50)",0,47.2975,-122.37000000000002,0.33180447431582316,3.8911466818258345
"[4.50, 7.50)",0,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,22.599184123351787,10.573845721660371,3.909907902084984,"[1949.50, 1994.50)",0,47.31389999999999,-122.116,0.2923975678690146,3.92165297828479
"[4.50, 7.50)",1,"(-inf, 1.25)","[2.50, 3.50)","[1.25, 1.75)",0,0,0,B,24.750721517684696,9.72250261373509,3.804531713781818,"[1949.50, 1994.50)",0,47.6217,-122.19800000000001,0.035246449541561614,3.9471610034880142
"[4.50, 7.50)",1,"[1.25, 1.75)","[2.50, 3.50)","(-inf, 1.25)",1,0,0,A,20.388913704560707,10.042105827388284,3.8254862710119433,"(-inf, 1940.50)",0,47.6169,-122.212,0.027148274728193266,3.9548289705151025
"[7.50, inf)",0,"(-inf, 1.25)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,C,24.573063956370923,10.853006122028278,3.801096185076261,"[1949.50, 1994.50)",0,47.3326,-122.32299999999998,0.27973659994648237,3.8987883032791526
"[4.50, 7.50)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,25.618034327968118,11.167422176979667,3.9756366038461186,"[1994.50, 2009.50)",0,47.6675,-122.176,0.08605509921233422,3.9507678632524614
"[7.50, inf)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",1,1,0,B,25.033784313129182,9.369853087099374,3.655102365914223,"(-inf, 1940.50)",0,47.54209999999999,-122.378,0.17182393823969408,3.9093500624869044
"[7.50, inf)",1,"(-inf, 1.25)","[3.50, 4.50)","[2.75, 3.25)",1,1,0,C,25.228884630814875,11.046131278570378,3.888420077729549,"[1949.50, 1994.50)",0,47.7153,-122.257,0.133046859873946,3.944623857516826
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.25, 1.75)",0,0,0,B,23.282882243309714,9.191068521127088,3.7311882197600994,"[1940.50, 1949.50)",0,47.49249999999999,-122.278,0.1170311691578635,3.8852684004613027
"[7.50, inf)",1,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,25.276109305035195,9.760749791705244,3.809573585503562,"[1949.50, 1994.50)",0,47.6272,-122.209,0.03763740044151513,3.948667145068837
"[7.50, inf)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,23.52786650925875,11.185929406396431,3.9775931263655653,"[1994.50, 2009.50)",0,47.5521,-121.989,0.22706640029231479,3.944284591904947
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",0,1,1,B,23.526043778221634,10.77928600655856,3.9333277929738584,"[1949.50, 1994.50)",0,47.3811,-122.325,0.23686262462328422,3.914234220652252
"[4.50, 7.50)",0,"(-inf, 1.25)","[2.50, 3.50)","(-inf, 1.25)",0,0,0,C,25.481372887229124,9.630168398118995,3.792232865831295,"[1949.50, 1994.50)",0,47.524,-121.821,0.3974001775587154,3.9033763417260747
"[7.50, inf)",1,"[1.75, inf)","[2.50, 3.50)","[1.75, 2.75)",0,0,0,B,26.63267079644883,10.268460437961034,3.8737032682112598,"[1949.50, 1994.50)",0,47.677499999999995,-122.165,0.09996690033607174,3.9372877674675557
"[7.50, inf)",0,"(-inf, 1.25)","(-inf, 2.50)","(-inf, 1.25)",0,0,0,B,21.824858782002533,8.935565793288282,3.6936144552940093,"[1940.50, 1949.50)",0,47.5186,-122.375,0.17701582514993436,3.8948434537642225
"[4.50, 7.50)",1,"[1.75, inf)","[3.50, 4.50)","[1.75, 2.75)",0,0,0,B,23.855622139167412,11.19817490378434,3.9788847150848583,"[1994.50, 2009.50)",0,47.7066,-122.112,0.15438519837271622,3.9441379889113755
"[4.50, 7.50)",0,"(-inf, 1.25)","[3.50, 4.50)","[1.75, 2.75)",1,0,0,A,23.075746427371662,10.590422654676606,3.7608577543954698,"[1949.50, 1994.50)",0,47.492,-122.166,0.10844339494569462,3.9162716065954397
"[7.50, inf)",0,"(-inf, 1.25)","[2.50, 3.50)","[1.75, 2.75)",1,0,0,C,22.968041607187512,10.179009042944491,3.801096185076261,"[1949.50, 1994.50)",0,47.7358,-122.17,0.15220938538120812,3.9228276510318634
