year,month,Luxury,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,basement,yr_built,yr_renovated,lat,long
2014,7,1,3,2.5,2070,-1,1.0,0,0,C,1540,1,1980,0,47.5936,-122.013
2014,6,1,2,1.5,1640,-1,1.5,0,0,A,1540,1,1916,0,47.6624,-122.325
2014,10,1,4,3.5,3720,-1,1.0,0,1,B,3720,0,2007,0,47.3216,-121.94
2014,12,1,3,3.5,2260,-1,2.0,0,0,B,1880,1,2003,0,47.6422,-122.361
2014,10,0,3,2.0,2050,-1,1.0,0,0,A,1170,1,1960,0,47.7447,-122.328
2014,6,0,2,1.0,930,-1,1.0,0,0,B,930,0,1986,0,47.4866,-122.303
2014,7,0,3,2.5,2000,-1,2.0,0,0,C,2000,0,1993,0,47.3508,-122.057
2014,6,1,3,2.5,3350,-1,2.0,0,0,B,2550,1,2005,0,47.7277,-122.207
2014,6,0,3,2.0,2000,-1,1.0,0,0,C,1300,1,1968,0,47.4346,-122.171
2014,7,1,4,4.5,5010,-1,2.0,0,1,B,4000,1,2014,0,47.5455,-122.211
2014,11,0,4,2.0,2100,-1,1.5,0,0,A,1720,1,1924,0,47.5299,-122.266
2014,7,0,2,1.0,550,-1,1.0,0,0,B,550,0,1952,0,47.511,-122.348
2014,12,1,4,3.0,2660,-1,1.0,0,1,B,1930,1,1968,2006,47.616,-122.218
2014,8,0,4,1.5,1370,-1,1.0,0,0,B,1070,1,1953,0,47.4718,-122.323
2014,7,0,3,2.5,1530,-1,2.0,0,0,B,1530,0,1994,0,47.5691,-122.007
2014,9,0,3,1.0,1240,-1,1.0,0,0,C,1240,0,1972,0,47.4579,-122.09
2014,8,0,7,1.5,1360,-1,2.0,0,0,B,1120,1,2003,0,47.6526,-122.384
2014,12,0,3,1.0,1010,-1,1.0,0,0,A,1010,0,1974,0,47.3437,-122.078
2014,10,0,5,2.5,2500,-1,1.0,0,0,B,1850,1,1979,0,47.7564,-122.144
2014,10,0,3,2.5,1500,-1,2.0,0,0,C,1500,0,1992,0,47.3719,-122.091
2014,11,1,3,0.0,2180,-1,2.0,0,0,B,2180,0,1984,0,47.6215,-122.031
2014,5,0,3,2.0,1850,-1,1.0,0,0,B,1320,1,1979,0,47.2975,-122.37
2014,7,0,3,2.5,2200,-1,2.0,0,0,B,2200,0,1985,0,47.3139,-122.116
2014,7,1,3,1.5,1370,-1,1.0,0,0,B,1370,0,1955,0,47.6217,-122.198
2014,7,1,3,1.0,1640,-1,1.5,-1,0,A,1500,1,1920,0,47.6169,-122.212
2014,9,0,4,2.0,2560,-1,1.0,0,0,C,1350,1,1960,0,47.3326,-122.323
2014,6,1,4,2.5,3030,-1,2.0,0,0,B,3030,0,2003,0,47.6675,-122.176
2014,11,0,2,1.0,1120,-1,1.0,0,1,B,750,1,1929,0,47.5421,-122.378
2014,8,1,4,3.0,2840,-1,1.0,0,1,C,1990,1,1974,0,47.7153,-122.257
2014,11,0,3,1.5,1010,-1,1.0,0,0,B,1010,0,1943,0,47.4925,-122.278
2014,10,1,3,2.0,1400,-1,1.0,0,0,B,1400,0,1951,0,47.6272,-122.209
2014,12,1,4,2.5,3060,-1,2.0,0,0,B,3060,0,2005,0,47.5521,-121.989
2014,9,0,3,2.0,2460,-1,1.0,1,1,B,2460,0,1955,0,47.3811,-122.325
2014,7,0,3,1.0,1300,-1,1.0,0,0,C,1300,0,1959,0,47.524,-121.821
2014,12,1,3,2.5,1860,-1,2.0,0,0,B,1860,0,1993,0,47.6775,-122.165
2014,8,0,2,1.0,870,-1,1.0,0,0,B,870,0,1949,0,47.5186,-122.375
2014,7,1,4,2.5,3080,-1,2.5,0,0,B,3080,0,2008,0,47.7066,-122.112
2014,7,0,4,2.0,2220,-1,1.0,0,0,A,1140,1,1963,0,47.492,-122.166
2014,12,0,3,2.5,1770,-1,1.0,0,0,C,1350,1,1976,0,47.7358,-122.17
2014,8,0,3,1.0,940,-1,1.0,0,0,C,940,0,1942,0,47.5117,-122.378
2014,6,1,3,2.5,2270,-1,2.0,0,0,B,2270,0,1998,0,47.4815,-122.47
2014,12,0,2,1.0,710,-1,1.0,0,0,A,710,0,1942,0,47.5122,-122.374
2014,6,1,7,3.0,3190,-1,1.0,0,1,B,1890,1,2013,0,47.509,-122.24
2014,7,0,4,3.0,2180,-1,2.0,0,0,C,2180,0,1968,0,47.5338,-122.033
2014,8,0,3,2.0,2100,-1,1.0,0,0,B,2100,0,2010,0,47.6907,-121.917
2014,6,0,3,1.0,1320,-1,1.0,0,0,C,1320,0,1967,0,47.2787,-122.205
2014,8,0,5,2.5,2990,-1,2.0,0,0,B,2990,0,2015,0,47.7384,-122.348
