iter	Passed	Remaining
0	1	1264
1	2	1420
2	4	1436
3	5	1408
4	7	1443
5	8	1469
6	10	1442
7	11	1461
8	13	1450
9	14	1425
10	15	1409
11	17	1407
12	18	1387
13	19	1367
14	20	1363
15	21	1350
16	23	1365
17	25	1367
18	26	1374
19	28	1380
20	29	1379
21	30	1357
22	31	1347
23	32	1334
24	33	1325
25	35	1315
26	36	1307
27	37	1306
28	39	1318
29	40	1317
30	42	1316
31	43	1321
32	45	1318
33	46	1311
34	47	1302
35	48	1296
36	49	1296
37	50	1289
38	52	1282
39	53	1276
40	54	1277
41	56	1282
42	57	1286
43	59	1283
44	60	1279
45	61	1275
46	62	1276
47	64	1274
48	65	1269
49	66	1264
50	67	1260
51	68	1254
52	70	1260
53	72	1265
54	73	1268
55	75	1266
56	76	1271
57	78	1269
58	79	1265
59	80	1260
60	81	1257
61	82	1249
62	83	1244
63	84	1241
64	86	1246
65	88	1249
66	89	1250
67	91	1251
68	92	1249
69	93	1246
70	94	1242
71	96	1246
72	97	1243
73	99	1240
74	100	1236
75	102	1243
76	103	1244
77	105	1244
78	106	1243
79	108	1244
80	109	1244
81	110	1241
82	112	1239
83	113	1237
84	114	1234
85	116	1234
86	117	1237
87	119	1238
88	120	1237
89	122	1235
90	123	1236
91	125	1234
92	126	1230
93	127	1228
94	128	1228
95	130	1226
96	131	1226
97	133	1227
98	134	1227
99	136	1229
100	138	1229
101	139	1229
102	140	1226
103	142	1224
104	143	1222
105	144	1219
106	145	1217
107	147	1215
108	148	1216
109	150	1216
110	151	1216
111	153	1214
112	154	1215
113	156	1215
114	157	1213
115	158	1210
116	160	1209
117	161	1207
118	162	1205
119	164	1206
120	166	1207
121	167	1205
122	169	1205
123	170	1205
124	171	1203
125	173	1201
126	174	1199
127	175	1198
128	177	1196
129	178	1194
130	180	1195
131	181	1195
132	183	1194
133	184	1193
134	186	1194
135	188	1194
136	189	1195
137	191	1193
138	192	1191
139	193	1189
140	195	1190
141	197	1191
142	198	1190
143	200	1189
144	201	1186
145	202	1185
146	203	1183
147	205	1180
148	206	1178
149	207	1175
150	208	1173
151	209	1170
152	211	1169
153	212	1169
154	214	1167
155	215	1164
156	216	1162
157	217	1160
158	219	1158
159	220	1156
160	221	1154
161	222	1152
162	223	1150
163	225	1148
164	226	1148
165	228	1147
166	229	1145
167	230	1143
168	232	1141
169	233	1139
170	234	1138
171	236	1137
172	237	1134
173	238	1132
174	239	1129
175	241	1129
176	243	1130
177	244	1131
178	246	1130
179	248	1132
180	249	1130
181	251	1129
182	252	1127
183	253	1125
184	255	1124
185	256	1122
186	258	1121
187	259	1121
188	261	1123
189	263	1122
190	264	1121
191	266	1119
192	267	1117
193	268	1115
194	269	1114
195	271	1112
196	272	1110
197	274	1110
198	275	1110
199	277	1109
200	278	1107
201	280	1107
202	282	1107
203	283	1106
204	285	1105
205	286	1104
206	287	1102
207	289	1101
208	290	1101
209	292	1101
210	294	1100
211	295	1099
212	297	1097
213	298	1097
214	300	1096
215	301	1095
216	303	1093
217	304	1092
218	306	1092
219	308	1093
220	310	1093
221	311	1091
222	312	1089
223	314	1088
224	315	1086
225	316	1084
226	318	1083
227	319	1081
228	320	1080
229	322	1079
